sentence_id,sentence,ambiguity,ambiguity_zscore,ambiguity_norm,avg_regression_probability,avg_skip_probability,num_words
0,with his interest in race cars he formed a second company the henry ford company,5.404548798288618,0.547708452525052,0.6240466301437684,0.1515151515151515,0.4303030303030303,15
1,during this period he personally drove his quadricycle to victory in a race against alexander winton a wellknown driver and the heavy favorite on october 10 1901,5.344538353956663,0.4491786215902257,0.6070711261919279,0.15824915824915825,0.5252525252525252,27
2,ford was forced out of the company by the investors including henry m leland in 1902 and the company was reorganized as cadillac,5.206203119321303,0.2220490371873021,0.567939432561376,0.1778656126482213,0.44664031620553357,23
3,in 1891 ford became an engineer with the edison illuminating company and after his promotion to chief engineer in 1893 he had enough time and money to devote attention to his personal experiments on internal combustion engines,4.3906663490666284,-1.116962879635648,0.3372437958193959,0.18427518427518425,0.4692874692874693,37
4,these experiments culminated in 1896 with the completion of his own selfpropelled vehicle named the quadricycle which he testdrove on june 4 of that year,4.225447618712981,-1.3882318853934217,0.2905074111573854,0.12363636363636361,0.4581818181818182,25
5,ford was born on a prosperous farm in springwells township now in the city of dearborn michigan owned by his parents william ford 18261905 and mary litogot c18391876 immigrants from county cork ireland,4.78766193240881,-0.4651445479431871,0.4495442489973419,0.22314049586776857,0.5316804407713499,33
6,in the years between the wars henry ford supported adolf hitlers nazi regime,6.206579645474752,1.864545290803325,0.8509217677547135,0.15384615384615383,0.3076923076923077,13
7,there is also some evidence that henry ford gave adolf hitler direct financial backing when hitler was first starting out in politics,5.371099233627319,0.4927883467399609,0.6145845569427397,0.10743801652892561,0.3016528925619834,22
8,this can in part be traced to statements from kurt ludecke germanys representative to the us in the 1920s and winifred wagner daughterinlaw of richard wagner who said they requested funds from ford to aid the national socialist movement in germany,5.267626786231995,0.3228992072448665,0.5853147030161521,0.15742793791574278,0.38359201773835916,41
9,although ford is often credited with the idea contemporary sources indicate that the concept and its development came from employees clarence avery peter e martin charles e sorensen and ch,6.073766194540879,1.6464818018213374,0.8133520532444511,0.13939393939393935,0.48484848484848475,30
11,edsels widow eleanor who had inherited edsels voting stock wanted her son henry ford ii to take over the position,5.403754673506084,0.5464045964807379,0.6238219914407189,0.26363636363636356,0.4909090909090909,20
