index,sentence,difficulty,difficulty_zscore,difficulty_norm
0,with his interest in race cars he formed a second company the henry ford company,9.627443313598633,-0.8750194025177134,0.33838010075756725
1,during this period he personally drove his quadricycle to victory in a race against alexander winton a wellknown driver and the heavy favorite on october 10 1901,9.437479019165039,-0.9363517060604313,0.3270420213101273
2,ford was forced out of the company by the investors including henry m leland in 1902 and the company was reorganized as cadillac,12.993253707885742,0.21167378572148654,0.5392695666923709
3,in 1891 ford became an engineer with the edison illuminating company and after his promotion to chief engineer in 1893 he had enough time and money to devote attention to his personal experiments on internal combustion engines,17.197473526000977,1.5690577447111729,0.7901997662565603
4,these experiments culminated in 1896 with the completion of his own selfpropelled vehicle named the quadricycle which he testdrove on june 4 of that year,12.312246322631836,-0.008197805367575054,0.49862342389314457
5,ford was born on a prosperous farm in springwells township now in the city of dearborn michigan owned by his parents william ford 18261905 and mary litogot c18391876 immigrants from county cork ireland,10.07441520690918,-0.7307090418927124,0.365057760642221
6,in the years between the wars henry ford supported adolf hitlers nazi regime,14.1427583694458,0.5828054714773917,0.6078781187196393
7,there is also some evidence that henry ford gave adolf hitler direct financial backing when hitler was first starting out in politics,17.652132034301758,1.7158498233095578,0.8173362042063289
8,this can in part be traced to statements from kurt ludecke germanys representative to the us in the 1920s and winifred wagner daughterinlaw of richard wagner who said they requested funds from ford to aid the national socialist movement in germany,12.817258834838867,0.1548516812946655,0.5287652566119041
9,although ford is often credited with the idea contemporary sources indicate that the concept and its development came from employees clarence avery peter e martin charles e sorensen and ch,8.376672744750977,-1.2788460290929462,0.2637274607843653
10,henry ford advocated long time associate harry bennett to take the spot,16.262676239013672,1.2672469695475448,0.7344060922994871
12,in 1879 he left home for the nearby city of detroit to work as an apprentice machinist first with james f flower bros and later with the detroit dry dock co,7.083979606628418,-1.6962078715977058,0.18657265890491212
13,alexander rae baldwin iii born april 3 1958 in massapequa long island new york usa is an american actor who is the oldest and best known of the baldwin brothers with brothers daniel stephen and william,11.746209144592285,-0.190949854238112,0.46483931454800326
14,he is of three quarters irish and one quarter french descent,14.869717597961426,0.8175131790465444,0.6512669119269917
15,baldwin has appeared in movies such as the cooler the hunt for red october beetlejuice ghosts of mississippi talk radio final fantasy the spirits within voice the cat in the hat pearl harbor thomas and the magic railroad along came polly the spongebob squarepants movie and the aviator,15.666197776794434,1.0746665785293135,0.6988050852076376
16,when baldwin was young he had a job as a busboy at famous new york city disco studio 54,13.067277908325195,0.23557340719717715,0.5436877246842095
18,baldwin a liberal democrat has always had an active interest in politics and is frequently rumored to be a candidate for public office,12.58124828338623,0.07865277863173668,0.5146788916411462
19,in particular baldwin is one of the most frequent hosts of saturday night live leading the show eleven times and also making cameo appearances regularly,17.55564308166504,1.6846971809181062,0.8115772303209611
20,he played william barrett travis in a movie about the alamo called thirteen days of glory,13.898177146911621,0.5038394224835941,0.5932802105142427
21,in 1998 he began narrating the american version of the childrens series thomas the tank engine and friends,16.308095932006836,1.2819112747833248,0.7371169811492589
22,he is infamous for his 1994 appearance on saturday night live as he potrays mr armstrong a scoutmaster who is a pedophile he rips his shirt and puts his mouth around adam sandlers neck,11.276485443115234,-0.3426059153210563,0.43680370574282273
23,rosemary clooney may 23 1928 – june 29 2002 was an american popular singer and actress,11.712599754333496,-0.20180105830982406,0.46283332738041283
24,in 1954 she along with bing crosby danny kaye and veraellen starred in the movie white christmas,13.316178321838379,0.3159339600000884,0.5585434251795446
25,clooneys first recordings in may of 1946 were for columbia records as a singer with the big band of tony pastor,14.704192161560059,0.764071260713,0.6413874735089108
26,rosemary clooney was married three times twice to josé ferrer from 1953 until 1961 and then again from 1964 to 1967 by whom she had five children including actor miguel ferrer born in 1955 and gabriel ferrer born 1956 who married debby boone and once to dante depaolo whom she married in 1997,14.493212699890137,0.6959539525472684,0.628795097108261
27,rosemary betty and brother nick as well as her nephew george clooney nicks son all became entertainers,12.940804481506348,0.19473990937133764,0.5361391179024052
28,in 1945 the clooney sisters won a spot on cincinnatis radio station wlw as singers,13.806072235107422,0.4741022214722475,0.5877828995029857
29,she was born in maysville kentucky about 60 miles up the ohio river from cincinnati ohio to andrew joseph clooney and frances marie guilfoyle both of whom were of irish descent rosemarys paternal greatgrandparents nicholas clooney and bridget byron were born in ireland although clooneys paternal grandmother crescentia koch was german,15.192017555236816,0.9215716752516269,0.6705034875813303
30,in 1958 clooney left columbia doing a number of recordings for mgm records and then some for coral records,11.671052932739258,-0.2152149594897836,0.460353592094218
31,finally toward the end of 1958 she signed with rca victor records where she stayed until 1963 except for doing some recordings in 1960 for reprise records,11.79638671875,-0.17474940868357114,0.4678341790512316
32,in 1964 she went to reprise again shifting the next year to dot records,10.760812759399414,-0.5090971691677244,0.40602561729058256
33,in 1966 she went to united artists records,12.130083084106445,-0.06701144228221839,0.4877509529534763
34,in 1986 she sang a duet with wild man fischer on its a hard business,16.609716415405273,1.3792931490858193,0.7551192958155143
35,michael mcmanus born february 5 1959 is a syndicated columnist who write ethics religion,18.508832931518555,1.992446220701422,0.8684686702536926
36,on january 28 2005 it was revealed that he accepted money from the george w bush administration to promote their marriage initiative program which he did not disclose to his readers,17.68625831604004,1.726867912138289,0.8193730422065859
37,timothy bush sr c 1728 c 1815 soldier,17.1281681060791,1.5466816394305571,0.7860632501836037
38,he is assumed to be the son of richard bush and mary fairbanks both of dedham massachusetts,11.13359546661377,-0.3887396976622596,0.4282752719619009
39,by training he was a blacksmith but when the american revolution broke out militia captain bush led a company of soldiers for the continental army,14.807929039001465,0.7975639845681884,0.6475790420958758
40,the family moved around 1810 to springport in cayuga county in the rochester new york area,10.6085786819458,-0.5582478091644136,0.3969394778667332
41,he died in springport new york in 1815,11.254587173461914,-0.3496760403960989,0.43549670054044454
42,through his son timothy bush jr who was also a blacksmith descended two american presidents george h w bush and george w bush,4.9851226806640625,-2.373849585582969,0.06130171445533694
43,bush was a soldier in the french and indian wars and a captain in the american revolution and is the greatgreatgreatgreatgreat grandfather of president george w bush,8.766982078552246,-1.152829871121619,0.28702319774857227
44,they had five children after which they relocated to norwich vermont where bush was a captain of a militia company,12.854010581970215,0.16671743384308974,0.5309587963507791
45,anne hutchinson july 17 1591 – august 20 1643 was the unauthorized puritan preacher of a dissident church discussion group and pioneer in rhode island and the bronx,10.278825759887695,-0.6647125865062201,0.3772580696343707
46,eventually john winthrop decided to take hutchinson out of power before her influence became too strong among the communitys men,9.294063568115234,-0.9826551443077556,0.3184822244133397
47,after a twoday trial she was banished as a heretic in 1638 and led 60 followers to settle aquidneck island in what later became rhode island,5.590859413146973,-2.1782800484002696,0.09745530435812125
48,they founded the town of portsmouth rhode island,7.571774005889893,-1.538717463986391,0.21568682306577872
49,at the age of 21 she married william hutchinson,7.2645134925842285,-1.6379202911542197,0.19734788141725423
50,they were part of the puritan movement especially following the teachings of john cotton,8.1116943359375,-1.3643975599744282,0.24791214001610562
51,three us presidents franklin d roosevelt and both bushes – george h w bush and george w bush are her descendants,13.430598258972168,0.3528758407706425,0.5653726155885216
52,another descendant eve laplante is the author of the most recent biography of anne hutchinson american jezebel the uncommon life of anne hutchinson the woman who defied the puritans,17.752090454101562,1.7481226257490456,0.8233022543449086
53,hutchinson was born anne marbury on july 17 1591 in alford lincolnshire england,15.554899215698242,1.038732472315445,0.6921621951221247
54,hutchinson emigrated from england to massachusetts in 1634 in response to the preacher john cottons doing so,13.244023323059082,0.2926378332176773,0.5542368310844338
55,she later moved yet further from her bostonbased persecutors to what is now the bronx in northern new york city,8.838981628417969,-1.1295839329284958,0.29132051382574087
56,erin fleming august 13 1941 april 15 2003 was a minor actress who was best known as the companion and caregiver to groucho marx in his final years,14.095280647277832,0.5674767062680928,0.6050443957427558
57,fleming was born marilyn fleming in canada,15.921866416931152,1.1572123363517168,0.7140647494657669
58,sir andrew fielding huxley om frs born 22 november 1917 hampstead london england uk is a british physiologist and biophysicist who won the 1963 nobel prize in physiology or medicine for his work with alan lloyd hodgkin on the basis of nerve action potentials the electrical impulses that enable the activity of an organism to be coordinated by a central nervous system,10.355249404907227,-0.6400382749038503,0.38181943924058
59,hodgkin and huxley shared the prize that year with john carew eccles who was cited for research on synapses,15.167495727539062,0.9136545022678026,0.6690398944810451
60,huxley was a son of the writer and editor leonard huxley by his second wife rosalind bruce and hence halfbrother of aldous huxley and fellow biologist julian huxley and grandson of the biologist t h huxley,8.278203010559082,-1.3106381911160006,0.25785026332067945
