sentence_id,sentence,difficulty_zscore,k,avg_regression_probability
0,with his interest in race cars he formed a second company the henry ford company,-0.8750194025177134,2,0.13636363636363635
1,during this period he personally drove his quadricycle to victory in a race against alexander winton a wellknown driver and the heavy favorite on october 10 1901,-0.9363517060604312,2,0.1818181818181818
2,ford was forced out of the company by the investors including henry m leland in 1902 and the company was reorganized as cadillac,0.2116737857214865,2,0.04545454545454545
3,in 1891 ford became an engineer with the edison illuminating company and after his promotion to chief engineer in 1893 he had enough time and money to devote attention to his personal experiments on internal combustion engines,1.5690577447111729,2,0.0909090909090909
4,these experiments culminated in 1896 with the completion of his own selfpropelled vehicle named the quadricycle which he testdrove on june 4 of that year,-0.008197805367575,2,0.0
5,ford was born on a prosperous farm in springwells township now in the city of dearborn michigan owned by his parents william ford 18261905 and mary litogot c18391876 immigrants from county cork ireland,-0.7307090418927124,2,0.13636363636363635
6,in the years between the wars henry ford supported adolf hitlers nazi regime,0.5828054714773917,2,0.0909090909090909
7,there is also some evidence that henry ford gave adolf hitler direct financial backing when hitler was first starting out in politics,1.7158498233095578,2,0.13636363636363635
8,this can in part be traced to statements from kurt ludecke germanys representative to the us in the 1920s and winifred wagner daughterinlaw of richard wagner who said they requested funds from ford to aid the national socialist movement in germany,0.1548516812946655,2,0.0
9,although ford is often credited with the idea contemporary sources indicate that the concept and its development came from employees clarence avery peter e martin charles e sorensen and ch,-1.2788460290929462,2,0.0909090909090909
10,henry ford advocated long time associate harry bennett to take the spot,1.2672469695475448,2,0.13636363636363635
12,in 1879 he left home for the nearby city of detroit to work as an apprentice machinist first with james f flower bros and later with the detroit dry dock co,-1.6962078715977058,2,0.04545454545454545
13,alexander rae baldwin iii born april 3 1958 in massapequa long island new york usa is an american actor who is the oldest and best known of the baldwin brothers with brothers daniel stephen and william,-0.190949854238112,2,0.13636363636363635
14,he is of three quarters irish and one quarter french descent,0.8175131790465444,2,0.0
15,baldwin has appeared in movies such as the cooler the hunt for red october beetlejuice ghosts of mississippi talk radio final fantasy the spirits within voice the cat in the hat pearl harbor thomas and the magic railroad along came polly the spongebob squarepants movie and the aviator,1.0746665785293137,2,0.04545454545454545
16,when baldwin was young he had a job as a busboy at famous new york city disco studio 54,0.2355734071971771,2,0.1818181818181818
18,baldwin a liberal democrat has always had an active interest in politics and is frequently rumored to be a candidate for public office,0.0786527786317366,2,0.13636363636363635
19,in particular baldwin is one of the most frequent hosts of saturday night live leading the show eleven times and also making cameo appearances regularly,1.6846971809181062,2,0.0
20,he played william barrett travis in a movie about the alamo called thirteen days of glory,0.5038394224835941,2,0.04545454545454545
21,in 1998 he began narrating the american version of the childrens series thomas the tank engine and friends,1.2819112747833248,2,0.0
22,he is infamous for his 1994 appearance on saturday night live as he potrays mr armstrong a scoutmaster who is a pedophile he rips his shirt and puts his mouth around adam sandlers neck,-0.3426059153210563,2,0.0
23,rosemary clooney may 23 1928 – june 29 2002 was an american popular singer and actress,-0.201801058309824,2,0.04545454545454545
